action_1,action_2,action_3,intent,intent_encoded
3,6,2,copy_data,0
6,2,5,copy_data,0
2,5,1,insert_chart,1
5,1,6,insert_chart,1
1,6,4,save_file,3
6,4,0,save_file,3
4,0,3,open_file,2
0,3,6,open_file,2
3,6,2,copy_data,0
6,2,5,copy_data,0
2,5,1,insert_chart,1
5,1,6,insert_chart,1
1,6,4,save_file,3
6,4,0,save_file,3
4,0,3,open_file,2
0,3,6,open_file,2
3,6,2,copy_data,0
6,2,5,copy_data,0
2,5,1,insert_chart,1
5,1,6,insert_chart,1
1,6,4,save_file,3
6,4,0,save_file,3
4,0,3,open_file,2
0,3,6,open_file,2
3,6,2,copy_data,0
6,2,5,copy_data,0
2,5,1,insert_chart,1
5,1,6,insert_chart,1
1,6,4,save_file,3
6,4,0,save_file,3
